Time [yr]	Species	Pebble Abundance [cm-2]
100.0	grainSiS	0.0000000000e+00
100.0	grainC5H	5.7976631585e-25
100.0	grainC4N	1.6237405605e-34
100.0	grainC5H2	3.4579168460e-24
100.0	grainC5H3	0.0000000000e+00
100.0	grainCH3C4H	2.9335859811e-24
100.0	grainS2	0.0000000000e+00
100.0	grainSO2	0.0000000000e+00
100.0	grainCH3C3N	7.8222492402e-30
100.0	grainHS2	0.0000000000e+00
100.0	grainSiC3H	0.0000000000e+00
100.0	grainH2S2	0.0000000000e+00
100.0	grainC3S	0.0000000000e+00
100.0	grainC6	4.5382586133e-29
100.0	grainC6H	3.5302520784e-28
100.0	grainC5N	1.7920944415e-35
100.0	grainC6H2	1.1832900142e-27
100.0	grainC6H3	0.0000000000e+00
100.0	grainHC5N	1.7341354333e-31
100.0	grainC6H4	0.0000000000e+00
100.0	grainH2C5N	0.0000000000e+00
100.0	grainSiC4	0.0000000000e+00
100.0	grainH3C5N	0.0000000000e+00
100.0	grainC6H6	7.2326373966e-28
100.0	grainC4S	0.0000000000e+00
100.0	grainC7	2.6587951622e-24
100.0	grainC7H	9.2135226262e-27
100.0	grainC7H2	1.9504277775e-29
100.0	grainC7H3	0.0000000000e+00
100.0	grainC7H4	0.0000000000e+00
100.0	grainCH3C6H	6.7660265820e-29
100.0	grainCH3C5N	4.0011476332e-42
100.0	grainC8	1.6163669998e-29
100.0	grainC8H	1.5244520413e-29
100.0	grainC7N	1.5609093861e-41
100.0	grainC8H2	1.4024293740e-32
100.0	grainC8H3	0.0000000000e+00
100.0	grainHC7N	1.3642849597e-41
100.0	grainC8H4	0.0000000000e+00
100.0	grainH2C7N	0.0000000000e+00
100.0	grainH3C7N	0.0000000000e+00
100.0	grainC9	1.7733354952e-25
100.0	grainC9H	2.2001524312e-28
100.0	grainC9H2	1.4702481119e-30
100.0	grainC9H3	0.0000000000e+00
100.0	grainC9H4	0.0000000000e+00
100.0	grainCH3C7N	0.0000000000e+00
100.0	grainC10	4.0738006797e-29
100.0	grainC9N	0.0000000000e+00
100.0	grainHC9N	0.0000000000e+00
100.0	grainH2C9N	0.0000000000e+00
100.0	grainH3C9N	0.0000000000e+00
100.0	grain	5.7832389599e-14
200.0	grainH	3.3136780759e-19
200.0	grainH(-)	2.1602148587e-24
200.0	grainH2	1.7416210832e-11
200.0	grainHe	2.4232357225e-18
200.0	grainC	3.0651531738e-19
200.0	grainCH	1.4074388465e-17
200.0	grainC(-)	3.7679893335e-31
200.0	grainCH2	6.5362820041e-14
200.0	grainCH3	9.8764290374e-13
200.0	grainN	5.2806726894e-33
200.0	grainNH	1.7491321978e-30
200.0	grainCH4	2.1491030222e-10
200.0	grainNH2	3.8102481528e-29
200.0	grainNH3	2.2415670836e-31
200.0	grainO	2.8181982232e-13
200.0	grainOH	1.9939579056e-12
200.0	grainO(-)	3.0091750215e-29
200.0	grainH2O	1.0121805300e-06
200.0	grainOH(-)	3.9417640514e-16
200.0	grainNa	0.0000000000e+00
200.0	grainC2	1.1356028642e-16
200.0	grainMg	0.0000000000e+00
200.0	grainNaH	0.0000000000e+00
200.0	grainC2H	1.8765480403e-15
200.0	grainMgH	0.0000000000e+00
200.0	grainC2H2	2.1514993158e-15
200.0	grainCN	5.4296351170e-29
200.0	grainCN(-)	2.0665460501e-36
200.0	grainMgH2	0.0000000000e+00
200.0	grainC2H3	7.4768777185e-17
200.0	grainHCN	1.7527271983e-28
200.0	grainHNC	1.7694415894e-31
200.0	grainC2H4	1.9565940802e-16
200.0	grainCHNH	0.0000000000e+00
200.0	grainCNH2	0.0000000000e+00
200.0	grainCO	2.1812845524e-08
200.0	grainH2CN	7.0843612490e-35
200.0	grainN2	0.0000000000e+00
200.0	grainSi	0.0000000000e+00
200.0	grainC2H5	1.3170663386e-20
200.0	grainCH2NH	1.7365612361e-33
200.0	grainCH3N	0.0000000000e+00
200.0	grainCHNH2	0.0000000000e+00
200.0	grainHCO	5.4079923073e-13
200.0	grainHOC	0.0000000000e+00
200.0	grainN2H	0.0000000000e+00
200.0	grainSiH	0.0000000000e+00
200.0	grainC2H6	0.0000000000e+00
200.0	grainCH2NH2	0.0000000000e+00
200.0	grainCH3NH	0.0000000000e+00
200.0	grainCHOH	0.0000000000e+00
200.0	grainH2CO	3.9239003057e-14
200.0	grainHOCH	0.0000000000e+00
200.0	grainN2H2	0.0000000000e+00
200.0	grainNO	5.8817468095e-32
200.0	grainSiH2	0.0000000000e+00
200.0	grainCH2OH	0.0000000000e+00
200.0	grainCH3O	0.0000000000e+00
200.0	grainCH5N	0.0000000000e+00
200.0	grainHNO	7.3218202936e-30
200.0	grainHON	0.0000000000e+00
200.0	grainSiH3	0.0000000000e+00
200.0	grainCH3OH	3.3443457100e-20
200.0	grainNH2OH	0.0000000000e+00
200.0	grainO2	3.9412253290e-17
200.0	grainS	0.0000000000e+00
200.0	grainHS	0.0000000000e+00
200.0	grainS(-)	0.0000000000e+00
200.0	grainSiH4	0.0000000000e+00
200.0	grainO2H	4.0873569181e-22
200.0	grainH2O2	1.9795836313e-38
200.0	grainH2S	0.0000000000e+00
200.0	grainCl	0.0000000000e+00
200.0	grainC3	6.5211896860e-21
200.0	grainHCl	0.0000000000e+00
200.0	grainC3H	1.4678076337e-20
200.0	grainC2N	5.1574166491e-30
200.0	grainC3H2	3.0375508613e-20
200.0	grainH2CCC	6.6703482981e-21
200.0	grainC3H3	0.0000000000e+00
200.0	grainHCCN	0.0000000000e+00
200.0	grainC2O	3.3126776100e-18
200.0	grainC3H4	0.0000000000e+00
200.0	grainCH2CN	1.5103768709e-37
200.0	grainCH3CCH	1.2183452658e-18
200.0	grainNaOH	0.0000000000e+00
200.0	grainSiC	0.0000000000e+00
200.0	grainC3H5	0.0000000000e+00
200.0	grainCH3CN	8.0808760911e-33
200.0	grainHC2O	0.0000000000e+00
200.0	grainHCSi	0.0000000000e+00
200.0	grainC3H6	0.0000000000e+00
200.0	grainCH2CO	2.8776590130e-13
200.0	grainNH2CN	1.5114367133e-42
200.0	grainOCN	1.4331863416e-34
200.0	grainSiCH2	0.0000000000e+00
200.0	grainSiN	0.0000000000e+00
200.0	grainC3H7	0.0000000000e+00
200.0	grainHNCO	1.9058988020e-36
200.0	grainHNSi	0.0000000000e+00
200.0	grainSiCH3	0.0000000000e+00
200.0	grainC3H8	0.0000000000e+00
200.0	grainCH3CHO	3.2850139220e-21
200.0	grainCO2	9.0126362418e-15
200.0	grainCS	0.0000000000e+00
200.0	grainN2O	0.0000000000e+00
200.0	grainSiO	0.0000000000e+00
200.0	grainHCS	0.0000000000e+00
200.0	grainNH2CHO	0.0000000000e+00
200.0	grainNHNO	0.0000000000e+00
200.0	grainC2H5OH	6.3612507559e-24
200.0	grainCH3OCH3	3.0657561825e-30
200.0	grainH2CS	0.0000000000e+00
200.0	grainH2SiO	0.0000000000e+00
200.0	grainHCOOH	7.5620382004e-16
200.0	grainNH2NO	0.0000000000e+00
200.0	grainNO2	9.0441353467e-34
200.0	grainNS	0.0000000000e+00
200.0	grainCCl	0.0000000000e+00
200.0	grainC4	2.8697271660e-24
200.0	grainO3	0.0000000000e+00
200.0	grainSO	0.0000000000e+00
200.0	grainC4H	2.9739674927e-21
200.0	grainC3N	2.0060723841e-30
200.0	grainC4H2	0.0000000000e+00
200.0	grainC4H3	1.7076911304e-21
200.0	grainClO	0.0000000000e+00
200.0	grainHC2NC	0.0000000000e+00
200.0	grainHC3N	7.5197827402e-30
200.0	grainHCNC2	0.0000000000e+00
200.0	grainHNC3	7.6534502744e-30
200.0	grainC3O	1.1192899861e-15
200.0	grainC4H4	0.0000000000e+00
200.0	grainCH2CCN	0.0000000000e+00
200.0	grainNCCN	1.1437773947e-35
200.0	grainSiC2	0.0000000000e+00
200.0	grainC4H5	0.0000000000e+00
200.0	grainCH2CHCN	3.0232597595e-39
200.0	grainHC3O	0.0000000000e+00
200.0	grainSiC2H	0.0000000000e+00
200.0	grainC4H6	0.0000000000e+00
200.0	grainH2C3O	0.0000000000e+00
200.0	grainH4C3N	0.0000000000e+00
200.0	grainSiC2H2	0.0000000000e+00
200.0	grainSiNC	0.0000000000e+00
200.0	grainH5C3N	0.0000000000e+00
200.0	grainC2S	0.0000000000e+00
200.0	grainFe	0.0000000000e+00
200.0	grainFeH	0.0000000000e+00
200.0	grainC5	1.1009664643e-23
200.0	grainHCOOCH3	5.6794304064e-31
200.0	grainOCS	0.0000000000e+00
200.0	grainSiO2	0.0000000000e+00
200.0	grainSiS	0.0000000000e+00
200.0	grainC5H	9.1563111059e-24
200.0	grainC4N	7.0823477376e-34
200.0	grainC5H2	8.4144077784e-23
200.0	grainC5H3	0.0000000000e+00
200.0	grainCH3C4H	8.3517057352e-23
