Time [yr]	Species	Pebble Abundance [cm-2]
5000.0	grainHCNC2	0.0000000000e+00
5000.0	grainHNC3	2.8568046180e-31
5000.0	grainC3O	1.7722671533e-11
5000.0	grainC4H4	0.0000000000e+00
5000.0	grainCH2CCN	0.0000000000e+00
5000.0	grainNCCN	0.0000000000e+00
5000.0	grainSiC2	2.9389913413e-28
5000.0	grainC4H5	0.0000000000e+00
5000.0	grainCH2CHCN	8.9788661103e-33
5000.0	grainHC3O	0.0000000000e+00
5000.0	grainSiC2H	2.7457900729e-30
5000.0	grainC4H6	0.0000000000e+00
5000.0	grainH2C3O	0.0000000000e+00
5000.0	grainH4C3N	0.0000000000e+00
5000.0	grainSiC2H2	2.7264833249e-30
5000.0	grainSiNC	0.0000000000e+00
5000.0	grainH5C3N	0.0000000000e+00
5000.0	grainC2S	3.8087426805e-29
5000.0	grainFe	0.0000000000e+00
5000.0	grainFeH	0.0000000000e+00
5000.0	grainC5	2.0412721717e-18
5000.0	grainHCOOCH3	1.8090326242e-29
5000.0	grainOCS	2.3336247034e-34
5000.0	grainSiO2	7.7313848356e-36
5000.0	grainSiS	0.0000000000e+00
5000.0	grainC5H	2.9948553054e-16
5000.0	grainC4N	6.3376750517e-30
5000.0	grainC5H2	6.2617821452e-15
5000.0	grainC5H3	0.0000000000e+00
5000.0	grainCH3C4H	7.3299526348e-15
5000.0	grainS2	9.0023861483e-47
5000.0	grainSO2	1.3126345469e-32
5000.0	grainCH3C3N	1.1158494174e-28
5000.0	grainHS2	4.8299133828e-42
5000.0	grainSiC3H	7.7937414187e-37
5000.0	grainH2S2	1.0890880195e-43
5000.0	grainC3S	4.1303953282e-37
5000.0	grainC6	6.6567089786e-20
5000.0	grainC6H	9.0511582127e-19
5000.0	grainC5N	9.3931759007e-31
5000.0	grainC6H2	4.1731378565e-17
5000.0	grainC6H3	0.0000000000e+00
5000.0	grainHC5N	1.4746088548e-29
5000.0	grainC6H4	0.0000000000e+00
5000.0	grainH2C5N	0.0000000000e+00
5000.0	grainSiC4	3.9580529253e-40
5000.0	grainH3C5N	0.0000000000e+00
5000.0	grainC6H6	1.1723891924e-17
5000.0	grainC4S	9.3673613974e-38
5000.0	grainC7	2.4728717952e-20
5000.0	grainC7H	3.6229422342e-20
5000.0	grainC7H2	3.1655660307e-19
5000.0	grainC7H3	0.0000000000e+00
5000.0	grainC7H4	0.0000000000e+00
5000.0	grainCH3C6H	8.8046033652e-17
5000.0	grainCH3C5N	2.6441642989e-36
5000.0	grainC8	1.5871303533e-21
5000.0	grainC8H	2.3044648436e-22
5000.0	grainC7N	2.0159716062e-40
5000.0	grainC8H2	4.9727442569e-22
5000.0	grainC8H3	0.0000000000e+00
5000.0	grainHC7N	5.9708304599e-40
5000.0	grainC8H4	0.0000000000e+00
5000.0	grainH2C7N	0.0000000000e+00
5000.0	grainH3C7N	0.0000000000e+00
5000.0	grainC9	8.2941028245e-21
