Time [yr]	Species	Pebble Abundance [cm-2]
2000.0	grainNH2OH	0.0000000000e+00
2000.0	grainO2	0.0000000000e+00
2000.0	grainS	0.0000000000e+00
2000.0	grainSH	0.0000000000e+00
2000.0	grainS(-)	0.0000000000e+00
2000.0	grainSiH4	0.0000000000e+00
2000.0	grainHS	0.0000000000e+00
2000.0	grainO2H	0.0000000000e+00
2000.0	grainH2O2	0.0000000000e+00
2000.0	grainH2S	0.0000000000e+00
2000.0	grainCl	0.0000000000e+00
2000.0	grainC3	0.0000000000e+00
2000.0	grainHCl	0.0000000000e+00
2000.0	grainC3H	0.0000000000e+00
2000.0	grainC2N	0.0000000000e+00
2000.0	grainC3H2	0.0000000000e+00
2000.0	grainH2CCC	0.0000000000e+00
2000.0	grainC3H3	0.0000000000e+00
2000.0	grainHCCN	0.0000000000e+00
2000.0	grainC2O	0.0000000000e+00
2000.0	grainC3H4	0.0000000000e+00
2000.0	grainCH2CN	0.0000000000e+00
2000.0	grainCH3CCH	0.0000000000e+00
2000.0	grainNaOH	0.0000000000e+00
2000.0	grainSiC	0.0000000000e+00
2000.0	grainC3H5	0.0000000000e+00
2000.0	grainCH3CN	0.0000000000e+00
2000.0	grainHC2O	0.0000000000e+00
2000.0	grainHCSi	0.0000000000e+00
2000.0	grainC3H6	0.0000000000e+00
2000.0	grainCH2CO	0.0000000000e+00
2000.0	grainNH2CN	0.0000000000e+00
2000.0	grainOCN	0.0000000000e+00
2000.0	grainSiCH2	0.0000000000e+00
2000.0	grainSiN	0.0000000000e+00
2000.0	grainC3H7	0.0000000000e+00
2000.0	grainHNCO	0.0000000000e+00
2000.0	grainHNSi	0.0000000000e+00
2000.0	grainSiCH3	0.0000000000e+00
2000.0	grainC3H8	0.0000000000e+00
2000.0	grainCH3CHO	0.0000000000e+00
2000.0	grainCO2	0.0000000000e+00
2000.0	grainCS	0.0000000000e+00
2000.0	grainN2O	0.0000000000e+00
2000.0	grainSiO	0.0000000000e+00
2000.0	grainHCS	0.0000000000e+00
2000.0	grainNH2CHO	0.0000000000e+00
2000.0	grainNHNO	0.0000000000e+00
2000.0	grainC2H5OH	0.0000000000e+00
2000.0	grainCH3OCH3	0.0000000000e+00
2000.0	grainH2CS	0.0000000000e+00
2000.0	grainH2SiO	0.0000000000e+00
2000.0	grainHCOOH	0.0000000000e+00
2000.0	grainNH2NO	0.0000000000e+00
